account_id,customer_id,customer_name,customer_type,product_type,sector,state,branch_code,relationship_manager_id,sanction_date,disbursement_date,maturity_date,tenure_months,sanctioned_amount,outstanding_amount,interest_rate_pct,repayment_frequency,collateral_secured,collateral_type,collateral_value,collateral_last_valuation_days_ago,restructured_flag,restructure_count,bureau_score,bureau_score_3m_change,existing_relationship_years,kyc_risk_category,cross_bank_dpd_reported,current_ratio,dscr,leverage_ratio,dpd_days,bounce_count_6m,limit_utilization_pct,irac_category,irac_subcategory,ecl_stage,irac_provision_rate,irac_floor_provision,pd_30d,pd_60d,pd_90d,pd_180d,lgd_estimate,ead,ecl_estimated_provision,recommended_provision,risk_score_100,ews_signal_count_90d,ews_primary_signal,ews_severity,npa_alert_flag,sma_watch_flag,ews_alert_flag,any_alert_flag,alert_priority,alert_reason,needs_review,approval_status,override_reason,macro_repo_rate_at_sanction,model_version,snapshot_date
LN100010,CU250015,Tiwari Overseas,MSME,MSME Term Loan,Agriculture & Allied,Punjab,BR0209,RM0287,2023-01-18,2023-01-19,2028-01-16,60,25000.0,10000.0,10.2,Monthly,True,Hypothecation of Assets/Stock,39800.0,84.0,False,0,573,5,0.9,High,0,0.91,2.93,2.47,18,1,0.0,Standard,SMA0,Stage 1,0.004,40.0,0.056,0.056,0.0869,0.1019,0.05,10148.55,44.1,44.1,10.8,2,Delayed Stock Statement,Low,False,False,True,True,None,SMA0 (current watchlist) but active early-warning signal(s) detected,True,Pending Review,NA,5.75,EWS-PD-v2.4.0,2025-12-31
LN100011,CU292684,Chatterjee Overseas,MSME,MSME Term Loan,Hospitality & Tourism,Uttar Pradesh,BR0123,RM0448,2020-05-25,2020-06-08,2025-05-23,60,25000.0,20400.0,10.11,Monthly,True,Hypothecation of Assets/Stock,34800.0,498.0,False,0,497,-18,1.5,High,0,1.04,2.25,0.23,14,0,0.0,Standard,SMA0,Stage 1,0.004,81.6,0.0738,0.1371,0.1371,0.1739,0.05,20974.52,143.79,143.79,8.7,3,Cheque/ECS Bounce,Medium,False,False,True,True,None,SMA0 (current watchlist) but active early-warning signal(s) detected,True,Pending Review,NA,6.0,EWS-PD-v2.4.0,2025-12-31
LN100012,CU269896,Chandrashekhar Rao Sharma,Individual,Home Loan,Agriculture & Allied,Odisha,BR0147,RM0131,2024-08-23,2024-09-03,2044-08-14,240,25000.0,3200.0,8.2,Monthly,True,Immovable Property,26700.0,184.0,False,0,631,-31,2.9,Medium,0,0.0,0.0,0.0,3,0,0.0,Standard,SMA0,Stage 1,0.004,12.8,0.051,0.084,0.105,0.184,0.05,3149.34,16.53,16.53,11.7,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.5,EWS-PD-v2.4.1,2025-12-31
LN100013,CU272308,Tiwari Exports,MSME,Cash Credit,Infrastructure,Maharashtra,BR0126,RM0295,2022-12-13,2022-12-15,2025-12-11,36,25000.0,16800.0,10.88,Revolving/On-Demand,True,Hypothecation of Assets/Stock,25800.0,1272.0,True,2,876,18,0.2,Low,0,1.68,1.84,0.14,344,3,83.24911888454466,NPA,Stressed,Stage 3,0.15,2520.0,0.1453,0.1467,0.55,0.58,0.3,17164.11,2832.08,2832.08,53.8,1,Related-Party Stress,Low,True,False,False,True,High,"NPA - Stressed: 91-455 DPD, account has slipped into NPA",True,Pending Review,NA,6.25,EWS-PD-v2.4.1,2025-12-31
LN100014,CU268160,Saxena Overseas,MSME,Overdraft,MSME - Manufacturing,Bihar,BR0171,RM0149,2025-03-01,2025-03-14,2028-02-28,36,25000.0,10900.0,11.21,Revolving/On-Demand,True,Hypothecation of Assets/Stock,35000.0,442.0,False,0,845,20,0.0,Low,91,0.6,2.33,2.01,69,3,120.00352476666166,Standard,SMA2,Stage 2,0.004,43.6,0.1483,0.193,0.2706,0.2871,0.05,11173.89,151.2,151.2,27.5,3,Rating Downgrade,Medium,False,True,False,True,Medium,"SMA2: 61-90 DPD, imminent NPA slippage risk",True,Approved,NA,6.25,EWS-PD-v2.4.1,2025-12-31
LN100015,CU274676,Kumar Exports,MSME,MSME Term Loan,Retail/Individual,Andhra Pradesh,BR0215,RM0472,2020-12-24,2020-12-30,2025-12-22,60,25000.0,16600.0,10.8,Monthly,False,Unsecured,0.0,0.0,False,0,750,-3,1.2,Low,0,0.92,0.85,1.12,5,0,0.0,Standard,SMA0,Stage 1,0.004,66.4,0.0488,0.0488,0.0844,0.1759,0.6895,16401.75,954.16,954.16,3.7,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.3.1,2025-12-31
LN100016,CU248756,Kavya Arora,Individual,Education Loan,MSME - Trade & Services,Haryana,BR0036,RM0515,2024-06-21,2024-06-26,2032-06-17,96,25000.0,5500.0,10.77,Monthly,True,Hypothecation of Assets/Stock,28200.0,1258.0,False,0,603,-40,4.4,Medium,0,0.0,0.0,0.0,17,0,0.0,Standard,SMA0,Stage 1,0.004,22.0,0.001,0.0352,0.0352,0.0359,0.05,5434.9,9.55,22.0,1.5,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.0,EWS-PD-v2.3.1,2025-12-31
LN100017,CU212170,Tiwari Textiles,MSME,Cash Credit,MSME - Manufacturing,West Bengal,BR0102,RM0323,2025-03-02,2025-03-14,2028-02-29,36,25000.0,1200.0,10.19,Revolving/On-Demand,False,Unsecured,0.0,0.0,False,0,796,-1,3.4,Low,0,2.73,0.77,1.95,9,0,84.80990436283267,Standard,SMA0,Stage 1,0.004,4.8,0.0526,0.0526,0.1346,0.1788,0.697,1207.87,113.29,113.29,15.8,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.4.1,2025-12-31
LN100018,CU279776,Kavita Arora,Individual,Personal Loan,Retail/Individual,Andhra Pradesh,BR0142,RM0374,2023-08-12,2023-08-21,2027-08-10,48,25000.0,10200.0,13.13,Monthly,False,Unsecured,0.0,0.0,True,1,633,-3,0.0,Medium,135,0.0,0.0,0.0,858,5,0.0,NPA,Loss,Stage 3,1.0,10200.0,0.2852,0.4253,0.95,0.98,0.8,9870.05,7501.24,10200.0,94.9,0,None,None,True,False,False,True,Critical,"NPA - Loss: >820 DPD, negligible recovery expected, write-off candidate",True,Approved,NA,5.5,EWS-PD-v2.3.1,2025-12-31
LN100019,CU242786,Sunny Mathew Pandey,Individual,Home Loan,Agriculture & Allied,Maharashtra,BR0190,RM0442,2025-02-18,2025-02-25,2045-02-09,240,25000.0,11700.0,8.37,Monthly,True,Immovable Property,31400.0,861.0,False,0,596,-37,1.2,High,0,0.0,0.0,0.0,18,0,0.0,Standard,SMA0,Stage 1,0.004,46.8,0.044,0.1043,0.1702,0.1702,0.05,11921.55,101.46,101.46,22.8,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,5.75,EWS-PD-v2.4.0,2025-12-31
LN100020,CU247533,Kavita Krishnan,Individual,Home Loan,Retail/Individual,Karnataka,BR0024,RM0244,2024-09-14,2024-09-21,2044-09-05,240,25000.0,12000.0,8.99,Monthly,True,Immovable Property,27300.0,920.0,False,0,722,15,2.6,Low,0,0.0,0.0,0.0,7,0,0.0,Standard,SMA0,Stage 1,0.004,48.0,0.0597,0.0597,0.0597,0.0597,0.05,11699.35,34.93,48.0,0.3,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,5.5,EWS-PD-v2.4.0,2025-12-31
LN100021,CU235225,Anil Malhotra,Individual,Personal Loan,Other Services,Telangana,BR0142,RM0166,2024-04-14,2024-04-28,2028-04-12,48,25000.0,9000.0,13.04,Monthly,False,Unsecured,0.0,0.0,False,0,725,0,7.1,Low,0,0.0,0.0,0.0,37,0,0.0,Standard,SMA1,Stage 2,0.004,36.0,0.1084,0.1084,0.2069,0.2256,0.7145,9298.45,1374.89,1374.89,17.4,0,None,None,False,True,False,True,Low,"SMA1: 31-60 DPD, repayment stress building",False,Not Required,NA,5.75,EWS-PD-v2.4.0,2025-12-31
LN100022,CU217342,Harleen Goyal,Individual,Auto Loan,MSME - Trade & Services,Maharashtra,BR0194,RM0569,2025-03-17,2025-03-22,2032-03-13,84,25000.0,13500.0,10.93,Monthly,True,Vehicle Hypothecation,39500.0,707.0,False,0,757,17,0.9,Low,0,0.0,0.0,0.0,16,0,0.0,Standard,SMA0,Stage 1,0.004,54.0,0.0177,0.0177,0.0996,0.0996,0.05,14077.57,70.07,70.07,3.7,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.0,EWS-PD-v2.4.1,2025-12-31
LN100023,CU288042,Basavaraj Patil Tiwari,Individual,Home Loan,Retail/Individual,Bihar,BR0034,RM0413,2025-08-10,2025-08-24,2045-08-01,240,25000.0,18400.0,9.18,Monthly,True,Immovable Property,38800.0,589.0,False,0,728,63,11.3,Low,0,0.0,0.0,0.0,7,0,0.0,Standard,SMA0,Stage 1,0.004,73.6,0.0391,0.0455,0.1014,0.1014,0.05,17532.83,88.87,88.87,5.9,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.4.0,2025-12-31
LN100024,CU274248,Mukesh Saxena,Individual,Home Loan,Gems & Jewellery,Tamil Nadu,BR0043,RM0015,2024-04-25,2024-05-02,2044-04-16,240,25000.0,21900.0,9.22,Monthly,True,Immovable Property,24800.0,254.0,False,0,741,-17,8.3,Low,0,0.0,0.0,0.0,5,0,0.0,Standard,SMA0,Stage 1,0.004,87.6,0.0749,0.1797,0.1797,0.1797,0.1703,20892.25,639.52,639.52,20.5,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.3.1,2025-12-31
LN100025,CU261167,Chandrashekhar Rao Subramaniam,Individual,Personal Loan,MSME - Trade & Services,Karnataka,BR0009,RM0348,2024-12-26,2025-01-07,2028-12-24,48,25000.0,11200.0,13.16,Monthly,False,Unsecured,0.0,0.0,False,0,683,1,0.8,Medium,0,0.0,0.0,0.0,13,0,0.0,Standard,SMA0,Stage 1,0.004,44.8,0.0484,0.0589,0.135,0.135,0.596,11601.72,933.38,933.38,10.6,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.5,EWS-PD-v2.4.1,2025-12-31
LN100026,CU238229,Saanvi Gupta,Agri,KCC (Kisan Credit Card),Textiles,Madhya Pradesh,BR0213,RM0270,2022-11-09,2022-11-09,2025-11-07,36,25000.0,11500.0,6.3,Revolving/On-Demand,False,Unsecured,0.0,0.0,False,0,728,-38,0.3,Low,0,0.0,0.0,0.0,242,2,0.0,NPA,Stressed,Stage 3,0.15,1725.0,0.101,0.1297,0.55,0.58,0.6031,12039.69,3993.95,3993.95,54.5,0,None,None,True,False,False,True,High,"NPA - Stressed: 91-455 DPD, account has slipped into NPA",True,Pending Review,NA,6.25,EWS-PD-v2.4.1,2025-12-31
LN100027,CU278162,Vijay Dutta,Agri,KCC (Kisan Credit Card),MSME - Trade & Services,Maharashtra,BR0234,RM0150,2025-12-21,2025-12-27,2028-12-19,36,25000.0,18100.0,7.0,Revolving/On-Demand,False,Unsecured,0.0,0.0,False,0,770,17,0.5,Low,0,0.0,0.0,0.0,6,0,0.0,Standard,SMA0,Stage 1,0.004,72.4,0.0061,0.0558,0.0558,0.0645,0.8486,18844.4,892.51,892.51,8.3,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.5,EWS-PD-v2.4.0,2025-12-31
LN100028,CU251815,Partha Iyengar,Individual,Auto Loan,Retail/Individual,Madhya Pradesh,BR0118,RM0474,2022-12-28,2023-01-04,2029-12-24,84,25000.0,18700.0,10.11,Monthly,True,Vehicle Hypothecation,25100.0,942.0,False,0,820,-9,15.3,Low,0,0.0,0.0,0.0,18,0,0.0,Standard,SMA0,Stage 1,0.004,74.8,0.0105,0.0213,0.0712,0.0922,0.0736,17806.37,93.26,93.26,13.1,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.5,EWS-PD-v2.4.1,2025-12-31
LN100029,CU242124,Rajendran Mehta,Individual,Home Loan,Retail/Individual,Kerala,BR0217,RM0412,2023-07-18,2023-07-30,2043-07-09,240,25000.0,14000.0,8.2,Monthly,True,Immovable Property,23800.0,958.0,False,0,743,-17,0.4,Low,0,0.0,0.0,0.0,13,0,0.0,Standard,SMA0,Stage 1,0.004,56.0,0.015,0.0916,0.0916,0.0916,0.05,14481.23,66.3,66.3,11.9,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.0,EWS-PD-v2.4.1,2025-12-31
LN100030,CU242793,Paromita Pandey,Individual,Home Loan,Gems & Jewellery,Maharashtra,BR0149,RM0279,2023-08-23,2023-08-25,2043-08-14,240,25000.0,14900.0,8.47,Monthly,True,Immovable Property,34500.0,578.0,False,0,684,-24,3.0,Medium,0,0.0,0.0,0.0,31,1,0.0,Standard,SMA1,Stage 2,0.004,59.6,0.0492,0.1005,0.1092,0.1807,0.05,14473.03,79.0,79.0,10.8,0,None,None,False,True,False,True,Low,"SMA1: 31-60 DPD, repayment stress building",False,Not Required,NA,6.0,EWS-PD-v2.4.1,2025-12-31
LN100031,CU221587,Sneha Agarwal,Individual,Home Loan,Textiles,Tamil Nadu,BR0246,RM0223,2023-09-20,2023-09-30,2043-09-11,240,25000.0,24000.0,9.17,Monthly,True,Immovable Property,26400.0,180.0,False,0,750,3,27.4,Low,0,0.0,0.0,0.0,48,1,0.0,Standard,SMA1,Stage 2,0.004,96.0,0.1255,0.1454,0.2016,0.2696,0.432,24220.47,2109.5,2109.5,20.9,2,Rating Downgrade,Low,False,True,False,True,Low,"SMA1: 31-60 DPD, repayment stress building",True,Approved,NA,6.0,EWS-PD-v2.4.1,2025-12-31
LN100032,CU208752,Krishna Banerjee,Individual,Auto Loan,Textiles,Maharashtra,BR0028,RM0134,2023-07-20,2023-08-02,2030-07-16,84,25000.0,6100.0,9.81,Monthly,True,Vehicle Hypothecation,27900.0,935.0,False,0,827,4,8.4,Low,0,0.0,0.0,0.0,46,1,0.0,Standard,SMA1,Stage 2,0.004,24.4,0.0734,0.1444,0.2323,0.2323,0.05,5969.31,69.32,69.32,22.5,3,Auditor Qualification,Medium,False,True,False,True,Low,"SMA1: 31-60 DPD, repayment stress building",True,Approved,NA,5.75,EWS-PD-v2.4.1,2025-12-31
LN100033,CU252685,Priyanka Chatterjee,Individual,Home Loan,Retail/Individual,West Bengal,BR0169,RM0378,2023-09-22,2023-10-05,2043-09-13,240,25000.0,11500.0,10.03,Monthly,True,Immovable Property,30100.0,274.0,False,0,818,1,6.5,Low,0,0.0,0.0,0.0,6,0,0.0,Standard,SMA0,Stage 1,0.004,46.0,0.0022,0.0093,0.0202,0.03,0.05,10930.97,11.03,46.0,0.0,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.4.1,2025-12-31
LN100034,CU284349,Divya Krishnan,Individual,Personal Loan,NBFC/Financial Services,Telangana,BR0182,RM0514,2024-01-02,2024-01-09,2027-12-31,48,25000.0,12900.0,13.91,Monthly,False,Unsecured,0.0,0.0,False,0,644,12,0.9,Medium,0,0.0,0.0,0.0,5,0,0.0,Standard,SMA0,Stage 1,0.004,51.6,0.001,0.001,0.001,0.0674,0.7582,12955.12,9.82,51.6,0.0,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.0,EWS-PD-v2.4.0,2025-12-31
LN100035,CU206062,Swathi Tiwari,Individual,Gold Loan,Agriculture & Allied,Kerala,BR0162,RM0395,2024-06-18,2024-06-21,2027-06-17,36,25000.0,16900.0,9.13,Monthly,True,Gold Ornaments,26800.0,1119.0,False,0,824,-57,2.4,Low,0,0.0,0.0,0.0,3,0,0.0,Standard,SMA0,Stage 1,0.004,67.6,0.0543,0.1305,0.1807,0.1807,0.05,17575.71,158.76,158.76,21.9,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.4.0,2025-12-31
LN100036,CU281537,Das Exports,MSME,MSME Term Loan,Real Estate & Construction,Karnataka,BR0124,RM0007,2024-05-13,2024-05-25,2029-05-11,60,25000.0,19000.0,11.07,Monthly,True,Hypothecation of Assets/Stock,23600.0,631.0,False,0,720,-18,5.7,Low,0,1.61,2.52,2.14,82,1,0.0,Standard,SMA2,Stage 2,0.004,76.0,0.0663,0.2124,0.2375,0.2568,0.05,18191.73,216.06,216.06,24.3,0,None,None,False,True,False,True,Medium,"SMA2: 61-90 DPD, imminent NPA slippage risk",True,Pending Review,NA,6.5,EWS-PD-v2.3.1,2025-12-31
LN100037,CU278624,Ananya Rathore,Agri,KCC (Kisan Credit Card),Retail/Individual,Uttar Pradesh,BR0053,RM0403,2025-05-21,2025-05-22,2028-05-19,36,25000.0,9800.0,6.29,Revolving/On-Demand,True,Hypothecation of Assets/Stock,26100.0,817.0,False,0,683,44,1.1,Medium,0,0.0,0.0,0.0,15,1,0.0,Standard,SMA0,Stage 1,0.004,39.2,0.0419,0.047,0.0659,0.1061,0.05,9345.37,30.78,39.2,4.6,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.3.1,2025-12-31
LN100038,CU226292,Srinivas Bhatia,Individual,Home Loan,Gems & Jewellery,Maharashtra,BR0043,RM0263,2024-03-26,2024-04-08,2044-03-17,240,25000.0,13600.0,8.82,Monthly,True,Immovable Property,33100.0,611.0,False,0,675,4,0.7,Medium,0,0.0,0.0,0.0,261,0,0.0,NPA,Stressed,Stage 3,0.15,2040.0,0.0641,0.2449,0.55,0.58,0.3,14082.56,2323.62,2323.62,52.3,2,Delayed Stock Statement,Low,True,False,False,True,High,"NPA - Stressed: 91-455 DPD, account has slipped into NPA",True,Overridden,Litigation likely to resolve favorably,6.25,EWS-PD-v2.4.1,2025-12-31
LN100039,CU260008,Suresh Agarwal,Individual,Personal Loan,Other Services,Tamil Nadu,BR0161,RM0411,2023-10-20,2023-10-28,2027-10-18,48,25000.0,21700.0,13.84,Monthly,False,Unsecured,0.0,0.0,False,0,620,-26,3.0,Medium,0,0.0,0.0,0.0,21,0,0.0,Standard,SMA0,Stage 1,0.004,86.8,0.0362,0.0362,0.1142,0.1142,0.8846,21057.8,2126.56,2126.56,11.9,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.4.1,2025-12-31
LN100040,CU215696,Sabiha Iyengar,Individual,Gold Loan,Retail/Individual,West Bengal,BR0145,RM0228,2022-04-10,2022-04-13,2025-04-08,36,25000.0,11200.0,10.02,Monthly,True,Gold Ornaments,38400.0,231.0,False,0,790,-21,3.3,Low,0,0.0,0.0,0.0,9,0,0.0,Standard,SMA0,Stage 1,0.004,44.8,0.001,0.0563,0.088,0.0954,0.05,11017.89,48.45,48.45,9.6,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,5.5,EWS-PD-v2.4.1,2025-12-31
LN100041,CU272018,Simran Aggarwal,Individual,Auto Loan,Infrastructure,Haryana,BR0123,RM0251,2024-01-15,2024-01-21,2031-01-11,84,25000.0,13800.0,10.38,Monthly,True,Vehicle Hypothecation,39300.0,618.0,False,0,782,19,1.1,Low,21,0.0,0.0,0.0,38,0,0.0,Standard,SMA1,Stage 2,0.004,55.2,0.0465,0.1192,0.2097,0.2153,0.05,13651.15,143.17,143.17,18.2,0,None,None,False,True,False,True,Low,"SMA1: 31-60 DPD, repayment stress building",False,Not Required,NA,5.5,EWS-PD-v2.4.0,2025-12-31
LN100042,CU266549,Nair Trading Co.,MSME,Cash Credit,MSME - Trade & Services,Uttar Pradesh,BR0010,RM0271,2022-03-24,2022-03-27,2025-03-22,36,25000.0,17700.0,9.63,Revolving/On-Demand,False,Unsecured,0.0,0.0,False,0,679,-6,10.1,Medium,0,0.76,0.45,1.34,9,0,57.97501362851179,Standard,SMA0,Stage 1,0.004,70.8,0.0467,0.0467,0.0775,0.0775,0.5295,17300.76,710.39,710.39,6.0,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.5,EWS-PD-v2.4.0,2025-12-31
LN100043,CU233679,Shalini Bose,Individual,Gold Loan,Retail/Individual,Bihar,BR0095,RM0375,2022-02-28,2022-03-08,2025-02-26,36,25000.0,20400.0,9.49,Monthly,True,Gold Ornaments,28000.0,940.0,False,0,690,5,0.4,Medium,0,0.0,0.0,0.0,69,1,0.0,Standard,SMA2,Stage 2,0.004,81.6,0.0759,0.1301,0.1906,0.2603,0.05,20818.32,198.42,198.42,22.1,0,None,None,False,True,False,True,Medium,"SMA2: 61-90 DPD, imminent NPA slippage risk",True,Pending Review,NA,6.5,EWS-PD-v2.4.1,2025-12-31
LN100044,CU206452,Aggarwal Steel Works,MSME,MSME Term Loan,Retail/Individual,Gujarat,BR0217,RM0505,2024-07-07,2024-07-10,2029-07-05,60,25000.0,18400.0,11.47,Monthly,True,Hypothecation of Assets/Stock,24200.0,910.0,False,0,806,-31,3.1,Low,0,1.71,1.2,0.74,189,1,0.0,NPA,Stressed,Stage 3,0.15,2760.0,0.1303,0.1488,0.55,0.58,0.3,17648.98,2912.08,2912.08,59.0,0,None,None,True,False,False,True,High,"NPA - Stressed: 91-455 DPD, account has slipped into NPA",True,Pending Review,NA,6.0,EWS-PD-v2.4.1,2025-12-31
